Vuosi	Nimi	Miss	PP	Kolme	Lehd	Yleiso	Ika	Pituus	Paino	PI	Rinta	Vyot	Lantio	R-V	L-V	R-L	VRS	VLS	Hius	Asuinp	Nro	Turku	Hki
2005	Hanna Ek	1	0	1	0	1	20	172	58	19,6	88	63	92	25	29	-4	0,72	0,68	1	0	1	0	0
2006	Rosa-Maria Malvalehto	0	0	0	0	0	24	174	59	19,5	90	64	94	26	30	-4	0,71	0,68	0	2	0	0	0
2006	Elisa Joki-Anttila	0	0	0	0	0	19	175	58	18,9	87	65	89	22	24	-2	0,75	0,73	0	0	0	0	0
2006	Julita Airaksinen	0	0	0	0	0	20	174	60	19,8	89	65	93	24	28	-4	0,73	0,70	0	0	0	0	1
2006	Rita Aitolahti	0	0	0	0	0	18	170	50	17,3	85	64	85	21	21	0	0,75	0,75	1	0	0	0	0
2006	Karoliina Yläjoki	0	1	1	1	0	22	172	52	17,6	85	62	86	23	24	-1	0,73	0,72	0	0	0	0	0
2006	Ninni Laaksonen	1	0	1	0	0	20	175	63	20,6	94	69	93	25	24	1	0,73	0,74	1	0	1	0	1
2006	Outi Virenius	0	0	0	0	0	23	174	54	17,8	91	63	91	28	28	0	0,69	0,69	1	1	1	0	0
2006	Sini Vahela	0	1	1	0	1	19	174	57	18,8	89	62	90	27	28	-1	0,70	0,69	0	0	1	0	0
2006	Suvi Pitkänen	0	0	0	0	0	19	174	58	19,2	87	69	88	18	19	-1	0,79	0,78	0	0	1	0	0
2007	Tuulia Uusitalo	0	0	0	0	0	20	174	57	18,8	93	62	90	31	28	3	0,67	0,69	0	0	0	0	0
2007	Ida Stepanow	0	0	0	0	0	19	178	61	19,3	92	68	93	24	25	-1	0,74	0,73	0	0	0	0	0
2007	Jaana Hakala	0	0	0	0	0	24	175	55	18,0	89	62	90	27	28	-1	0,70	0,69	1	1	0	0	0
2007	Essi Pöysti	0	0	0	0	0	19	174	56	18,5	88	65	90	23	25	-2	0,74	0,72	1	0	0	0	1
2007	Anniina Laakso	0	0	0	0	0	23	176	61	19,7	92	69	94	23	25	-2	0,75	0,73	0	0	0	0	0
2007	Jenni Laaksola	0	1	1	0	0	20	175	59	19,3	94	66	94	28	28	0	0,70	0,70	0	0	1	1	0
2007	Noora Hautakangas	1	0	1	0	0	22	175	59	19,3	90	65	94	25	29	-4	0,72	0,69	0	1	1	0	0
2007	Julia Liukkonen	0	0	0	0	0	19	177	58	18,5	91	65	92	26	27	-1	0,71	0,71	1	0	1	0	1
2007	Henna Linne	0	0	0	0	0	20	175	61	19,9	92	70	97	22	27	-5	0,76	0,72	0	2	1	0	0
2007	Joanna Väre	0	1	1	1	1	22	169	55	19,3	87	65	91	22	26	-4	0,75	0,71	1	1	1	0	0
2008	Satu Tuomisto	1	0	1	1	0	21	175	59	19,3	91	64	94	27	30	-3	0,70	0,68	0	0	0	0	0
2008	Hanna-Maria Manner	0	0	0	0	0	19	174	50	16,5	86	61	86	25	25	0	0,71	0,71	1	1	0	0	0
2008	Jenna Konkola	0	0	0	0	0	18	172	62	21,0	92	70	91	22	21	1	0,76	0,77	1	0	0	0	1
2008	Susanna Mustajärvi	0	1	1	0	0	19	172	58	19,6	90	64	90	26	26	0	0,71	0,71	1	0	0	0	0
2008	Johanna Alhback	0	0	0	0	1	19	169	58	20,3	93	66	94	27	28	-1	0,71	0,70	0	0	0	0	0
2008	Katariina Orimus	0	0	0	0	0	20	171	56	19,2	91	67	93	24	26	-2	0,74	0,72	0	0	1	0	0
2008	Hanna Virkki	0	0	0	0	0	20	173	53	17,7	92	67	93	25	26	-1	0,73	0,72	0	0	1	0	0
2008	Maria Mettälä	0	0	0	0	0	22	174	56	18,5	89	64	92	25	28	-3	0,72	0,70	0	0	1	0	0
2008	Åsa Rehnstrand	0	0	0	0	0	20	175	59	19,3	93	67	91	26	24	2	0,72	0,74	0	0	1	0	0
2008	Jaana Taanila	0	1	1	0	0	18	177	55	17,6	85	61	90	24	29	-5	0,72	0,68	0	2	1	0	0
2009	Elsi Suolanen	0	1	1	1	0	19	175	57	18,6	85	61	92	24	31	-7	0,72	0,66	0	0	0	0	1
2009	Linda Wikstedt	0	1	1	0	0	20	174	51	16,8	84	65	89	19	24	-5	0,77	0,73	0	0	0	0	1
2009	Heidi Kuhlberg	0	0	0	0	0	22	170	55	19,0	85	64	91	21	27	-6	0,75	0,70	0	0	0	0	0
2009	Henna Lintukangas	0	0	0	0	0	20	181	60	18,3	85	66	96	19	30	-11	0,78	0,69	1	0	0	0	1
2009	Minna Nikola	0	0	0	0	0	19	170	52	18,0	88	61	91	27	30	-3	0,69	0,67	0	0	0	0	0
2009	Pauliina Markkola	0	0	0	0	0	20	172	52	17,6	89	67	91	22	24	-2	0,75	0,74	0	0	1	0	0
2009	Annika Fagerström	0	0	0	0	0	22	172	56	18,9	86	64	91	22	27	-5	0,74	0,70	0	0	1	1	0
2009	Ulla Mattsson	0	0	0	0	0	20	176	58	18,7	88	68	96	20	28	-8	0,77	0,71	1	0	1	0	0
2009	Essi Pöysti	1	0	1	0	1	21	174	56	18,5	86	64	90	22	26	-4	0,74	0,71	1	1	1	0	0
2009	Noora Salo	0	0	0	0	0	19	173	57	19,0	90	65	93	25	28	-3	0,72	0,70	0	0	1	1	0
2010	Anne Nurminen	0	1	1	0	0	21	170	56	19,4	83	62	93	21	31	-10	0,75	0,67	0	0	0	0	1
2010	Viivi Suominen	0	0	0	0	0	22	173	55	18,4	86	66	95	20	29	-9	0,77	0,69	1	0	0	1	0
2010	Essi Hellsten	0	0	0	0	0	19	173	55	18,4	90	62	93	28	31	-3	0,69	0,67	0	0	0	1	0
2010	Heidi Myllylä	0	0	0	0	0	21	171	57	19,5	91	67	95	24	28	-4	0,74	0,71	0	1	0	0	0
2010	Susanna Turja	0	1	1	1	0	21	172	57	19,3	89	68	96	21	28	-7	0,76	0,71	1	0	0	0	1
2010	Viivi Pumpanen	1	0	1	0	1	21	167	53	19,0	86	64	93	22	29	-7	0,74	0,69	1	0	1	0	0
2010	Riina Seise	0	0	0	0	0	19	170	55	19,0	87	62	94	25	32	-7	0,71	0,66	0	0	1	0	1
2010	Viktoria Sinjakova	0	0	0	0	0	21	174	57	18,8	88	64	95	24	31	-7	0,73	0,67	1	0	1	0	0
2010	Ghia Granlund	0	0	0	0	0	20	175	58	18,9	87	65	95	22	30	-8	0,75	0,68	1	0	1	0	0
2010	Minna Nikkilä	0	0	0	0	0	23	168	57	20,2	93	68	89	25	21	4	0,73	0,76	0	0	1	0	1
2011	Nina Mikkonen	0	0	0	0	0	22	173	58	19,4	92	66	93	26	27	-1	0,72	0,71	0	1	0	0	0
2011	Anni Uusivirta	0	0	0	1	0	24	178	59	18,6	91	64	96	27	32	-5	0,70	0,67	1	0	0	0	0
2011	Linnea Aaltonen	0	0	0	0	0	23	169	50	17,5	89	64	86	25	22	3	0,72	0,74	0	0	0	0	0
2011	Iina Pyymäki	0	0	0	0	0	23	175	61	19,9	93	69	94	24	25	-1	0,74	0,73	0	0	0	0	0
2011	Sara Sieppi	0	1	1	0	0	19	173	58	19,4	91	65	94	26	29	-3	0,71	0,69	0	2	0	0	0
2011	Rita Aaltolahti	0	0	0	0	0	23	170	50	17,3	85	65	92	20	27	-7	0,76	0,71	1	0	1	1	0
2011	Niina Lavonen	0	1	1	0	0	22	175	56	18,3	92	65	92	27	27	0	0,71	0,71	1	0	1	0	0
2011	Ennileena Siitonen	0	0	0	0	0	21	175	57	18,6	90	66	92	24	26	-2	0,73	0,72	0	0	1	0	0
2011	Helena Riihitupa	0	0	0	0	0	19	168	55	19,5	90	65	94	25	29	-4	0,72	0,69	0	0	1	0	0
2011	Piia Pakarinen	1	0	1	0	1	20	170	52	18,0	88	63	92	25	29	-4	0,72	0,68	1	1	1	0	0
2012	Anni Griinari	0	0	0	0	0	21	171	55	18,8	90	57	90	33	33	0	0,63	0,63	0	0	0	0	0
2012	Anna Tallgren	0	0	0	0	0	21	173	56	18,7	95	64	92	31	28	3	0,67	0,70	1	0	0	0	0
2012	Taru Sokka	0	0	0	0	0	22	169	52	18,2	88	62	90	26	28	-2	0,70	0,69	1	0	0	0	0
2012	Sara Chafak	1	0	1	0	1	21	172	56	18,9	84	63	91	21	28	-7	0,75	0,69	0	0	0	0	1
2012	Laura Ahola	0	0	0	0	0	22	170	52	18,0	89	65	89	24	24	0	0,73	0,73	1	0	0	0	0
2012	Viivi Suominen	0	1	1	0	0	24	174	54	17,8	84	60	93	24	33	-9	0,71	0,65	1	0	1	1	0
2012	Sabina Sarkka	0	1	1	0	0	23	178	60	18,9	89	64	92	25	28	-3	0,72	0,70	1	0	1	0	1
2012	Krista Haapalainen	0	0	0	1	0	21	173	60	20,0	90	62	93	28	31	-3	0,69	0,67	1	0	1	1	0
2012	Jonna Kolehmainen	0	0	0	0	0	20	175	59	19,3	90	62	93	28	31	-3	0,69	0,67	0	0	1	0	0
